movie_title,title_year,imdb_score,num_voted_users
The Shawshank Redemption,1994,9.3,1689764
The Godfather,1972,9.2,1155770
The Godfather: Part II,1974,9.0,790926
The Dark Knight,2008,9.0,1676169
"The Good, the Bad and the Ugly",1966,8.9,503509
Pulp Fiction,1994,8.9,1324680
12 Angry Men,1957,8.9,447785
The Lord of the Rings: The Return of the King,2003,8.9,1215718
Schindler's List,1993,8.9,865020
Fight Club,1999,8.8,1347461
Inception,2010,8.8,1468200
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1238746
Forrest Gump,1994,8.8,1251222
Star Wars: Episode V - The Empire Strikes Back,1980,8.8,837759
Star Wars: Episode IV - A New Hope,1977,8.7,911097
Seven Samurai,1954,8.7,229012
The Lord of the Rings: The Two Towers,2002,8.7,1100446
The Matrix,1999,8.7,1217752
Goodfellas,1990,8.7,728685
One Flew Over the Cuckoo's Nest,1975,8.7,680041
